Store,Alamat_lengkap,Produk_BestSeller,e-commere,outlet_id,produk_id,sampling_index,lat,lon,Rating_global_produk,Jumlah_ulasan
D'Botanica Bandung,"Jl. Dr. Djunjunan No.143-149, Pajajaran, Kec. Cicendo, Kota Bandung, Jawa Barat 40173",Neo Cushion Mewy,Sociolla,SOC_BDG_01,121766,0,-6.892986875,107.5853968,4.8,49
D'Botanica Bandung,"Jl. Dr. Djunjunan No.143-149, Pajajaran, Kec. Cicendo, Kota Bandung, Jawa Barat 40173",Let It Gow Daily Shine Body Serum Delicate Rose,Sociolla,SOC_BDG_01,119191,0,-6.892986875,107.5853968,4.9,79
D'Botanica Bandung,"Jl. Dr. Djunjunan No.143-149, Pajajaran, Kec. Cicendo, Kota Bandung, Jawa Barat 40173",I'm From Black Rice Toner,Sociolla,SOC_BDG_01,123057,0,-6.892986875,107.5853968,4.9,2
D'Botanica Bandung,"Jl. Dr. Djunjunan No.143-149, Pajajaran, Kec. Cicendo, Kota Bandung, Jawa Barat 40173",Finally Found You SOY BRIGHT! Moisturizer,Sociolla,SOC_BDG_01,99431,0,-6.892986875,107.5853968,4.8,6
D'Botanica Bandung,"Jl. Dr. Djunjunan No.143-149, Pajajaran, Kec. Cicendo, Kota Bandung, Jawa Barat 40173",Wonder Crush Serum Liquid Blush,Sociolla,SOC_BDG_01,108230,0,-6.892986875,107.5853968,4.8,1402
D'Botanica Bandung,"Jl. Dr. Djunjunan No.143-149, Pajajaran, Kec. Cicendo, Kota Bandung, Jawa Barat 40173",Superstay Vinyl Ink Tint,Sociolla,SOC_BDG_01,97191,0,-6.892986875,107.5853968,4.7,5512
D'Botanica Bandung,"Jl. Dr. Djunjunan No.143-149, Pajajaran, Kec. Cicendo, Kota Bandung, Jawa Barat 40173",Mother Of Pearl Microblur Translucent Loose Powder,Sociolla,SOC_BDG_01,87877,0,-6.892986875,107.5853968,4.7,4946
23 Paskal,"Jl. Pasir Kaliki No.25-27, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40241",Neo Cushion Mewy,Sociolla,SOC_BDG_02,121766,1,-6.91460502,107.5958065,4.8,49
23 Paskal,"Jl. Pasir Kaliki No.25-27, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40241",Let It Gow Daily Shine Body Serum Delicate Rose,Sociolla,SOC_BDG_02,119191,1,-6.91460502,107.5958065,4.9,79
23 Paskal,"Jl. Pasir Kaliki No.25-27, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40241",I'm From Black Rice Toner,Sociolla,SOC_BDG_02,123057,1,-6.91460502,107.5958065,4.9,2
23 Paskal,"Jl. Pasir Kaliki No.25-27, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40241",Finally Found You SOY BRIGHT! Moisturizer,Sociolla,SOC_BDG_02,99431,1,-6.91460502,107.5958065,4.8,6
23 Paskal,"Jl. Pasir Kaliki No.25-27, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40241",Wonder Crush Serum Liquid Blush,Sociolla,SOC_BDG_02,108230,1,-6.91460502,107.5958065,4.8,1402
23 Paskal,"Jl. Pasir Kaliki No.25-27, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40241",Superstay Vinyl Ink Tint,Sociolla,SOC_BDG_02,97191,1,-6.91460502,107.5958065,4.7,5512
23 Paskal,"Jl. Pasir Kaliki No.25-27, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40241",Mother Of Pearl Microblur Translucent Loose Powder,Sociolla,SOC_BDG_02,87877,1,-6.91460502,107.5958065,4.7,4946
Festival Citylink,"Jl. Peta No.241, Suka Asih, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40232",Neo Cushion Mewy,Sociolla,SOC_BDG_03,121766,2,-6.92946318,107.5862483,4.8,49
Festival Citylink,"Jl. Peta No.241, Suka Asih, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40232",Let It Gow Daily Shine Body Serum Delicate Rose,Sociolla,SOC_BDG_03,119191,2,-6.92946318,107.5862483,4.9,79
Festival Citylink,"Jl. Peta No.241, Suka Asih, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40232",I'm From Black Rice Toner,Sociolla,SOC_BDG_03,123057,2,-6.92946318,107.5862483,4.9,2
Festival Citylink,"Jl. Peta No.241, Suka Asih, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40232",Finally Found You SOY BRIGHT! Moisturizer,Sociolla,SOC_BDG_03,99431,2,-6.92946318,107.5862483,4.8,6
Festival Citylink,"Jl. Peta No.241, Suka Asih, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40232",Wonder Crush Serum Liquid Blush,Sociolla,SOC_BDG_03,108230,2,-6.92946318,107.5862483,4.8,1402
Festival Citylink,"Jl. Peta No.241, Suka Asih, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40232",Superstay Vinyl Ink Tint,Sociolla,SOC_BDG_03,97191,2,-6.92946318,107.5862483,4.7,5512
Festival Citylink,"Jl. Peta No.241, Suka Asih, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40232",Mother Of Pearl Microblur Translucent Loose Powder,Sociolla,SOC_BDG_03,87877,2,-6.92946318,107.5862483,4.7,4946
Transtudio Mall Bandung,"Jl. Gatot Subroto No.289, Cibangkong, Kec. Batununggal, Kota Bandung, Jawa Barat 40273",Neo Cushion Mewy,Sociolla,SOC_BDG_04,121766,3,-6.926670536,107.6352191,4.8,49
Transtudio Mall Bandung,"Jl. Gatot Subroto No.289, Cibangkong, Kec. Batununggal, Kota Bandung, Jawa Barat 40273",I'm From Black Rice Toner,Sociolla,SOC_BDG_04,123057,3,-6.926670536,107.6352191,4.9,2
Transtudio Mall Bandung,"Jl. Gatot Subroto No.289, Cibangkong, Kec. Batununggal, Kota Bandung, Jawa Barat 40273",Wonder Crush Serum Liquid Blush,Sociolla,SOC_BDG_04,108230,3,-6.926670536,107.6352191,4.8,1402
Transtudio Mall Bandung,"Jl. Gatot Subroto No.289, Cibangkong, Kec. Batununggal, Kota Bandung, Jawa Barat 40273",Superstay Vinyl Ink Tint,Sociolla,SOC_BDG_04,97191,3,-6.926670536,107.6352191,4.7,5512
Transtudio Mall Bandung,"Jl. Gatot Subroto No.289, Cibangkong, Kec. Batununggal, Kota Bandung, Jawa Barat 40273",Microblur Translucent Loose Powder,Sociolla,SOC_BDG_04,87877,3,-6.926670536,107.6352191,4.7,4946
Transtudio Mall Bandung,"Jl. Gatot Subroto No.289, Cibangkong, Kec. Batununggal, Kota Bandung, Jawa Barat 40273",Powerstay Transferproof Matte Lip Cream,Sociolla,SOC_BDG_04,63842,0,-6.926670536,107.6352191,4.7,2295
Transtudio Mall Bandung,"Jl. Gatot Subroto No.289, Cibangkong, Kec. Batununggal, Kota Bandung, Jawa Barat 40273",Skintific Ultra Cover Powder Foundation,Sociolla,SOC_BDG_04,114680,0,-6.926670536,107.6352191,4.7,661
Summarecon Mall Bandung,"Jl. Grand Bulevar No.1, Cisaranten Kidul, Kec. Gedebage, Kota Bandung, Jawa Barat 40295",Neo Cushion Mewy,Sociolla,SOC_BDG_05,121766,4,-6.955033396,107.6985416,4.8,49
Summarecon Mall Bandung,"Jl. Grand Bulevar No.1, Cisaranten Kidul, Kec. Gedebage, Kota Bandung, Jawa Barat 40295",I'm From Black Rice Toner,Sociolla,SOC_BDG_05,123057,4,-6.955033396,107.6985416,4.9,2
Summarecon Mall Bandung,"Jl. Grand Bulevar No.1, Cisaranten Kidul, Kec. Gedebage, Kota Bandung, Jawa Barat 40295",Wonder Crush Serum Liquid Blush,Sociolla,SOC_BDG_05,108230,4,-6.955033396,107.6985416,4.8,1402
Summarecon Mall Bandung,"Jl. Grand Bulevar No.1, Cisaranten Kidul, Kec. Gedebage, Kota Bandung, Jawa Barat 40295",Superstay Vinyl Ink Tint,Sociolla,SOC_BDG_05,97191,4,-6.955033396,107.6985416,4.7,5512
Summarecon Mall Bandung,"Jl. Grand Bulevar No.1, Cisaranten Kidul, Kec. Gedebage, Kota Bandung, Jawa Barat 40295",Microblur Translucent Loose Powder,Sociolla,SOC_BDG_05,87877,4,-6.955033396,107.6985416,4.7,4946
Summarecon Mall Bandung,"Jl. Grand Bulevar No.1, Cisaranten Kidul, Kec. Gedebage, Kota Bandung, Jawa Barat 40295",Powerstay Transferproof Matte Lip Cream,Sociolla,SOC_BDG_05,63842,1,-6.955033396,107.6985416,4.7,2295
Summarecon Mall Bandung,"Jl. Grand Bulevar No.1, Cisaranten Kidul, Kec. Gedebage, Kota Bandung, Jawa Barat 40295",Mother Of Pearl Microblur Translucent Loose Powder,Sociolla,SOC_BDG_05,87877,5,-6.955033396,107.6985416,4.7,4946
X The Kings Shopping Centre,"Jl. Kepatihan No.11-17, Balonggede, Kec. Regol, Kota Bandung, Jawa Barat 40251",Mediheal Rose Prrn Essential Mask Healthy Glow,Sociolla,SOC_BDG_06,122153,0,-6.922775058,107.6049413,4.9,69
X The Kings Shopping Centre,"Jl. Kepatihan No.11-17, Balonggede, Kec. Regol, Kota Bandung, Jawa Barat 40251",Finally Found You SOY BRIGHT! Moisturizer,Sociolla,SOC_BDG_06,108230,5,-6.922775058,107.6049413,4.8,6
X The Kings Shopping Centre,"Jl. Kepatihan No.11-17, Balonggede, Kec. Regol, Kota Bandung, Jawa Barat 40251",Jung Saem Mool Essential Skin Nuder Cushion,Sociolla,SOC_BDG_06,115435,0,-6.922775058,107.6049413,4.8,6
X The Kings Shopping Centre,"Jl. Kepatihan No.11-17, Balonggede, Kec. Regol, Kota Bandung, Jawa Barat 40251",Derma Crush Serum Liquid Blush ,Sociolla,SOC_BDG_06,108230,6,-6.922775058,107.6049413,4.7,83
X The Kings Shopping Centre,"Jl. Kepatihan No.11-17, Balonggede, Kec. Regol, Kota Bandung, Jawa Barat 40251",Wonder Crush Serum Liquid Blush,Sociolla,SOC_BDG_06,87877,6,-6.922775058,107.6049413,4.8,1402
X The Kings Shopping Centre,"Jl. Kepatihan No.11-17, Balonggede, Kec. Regol, Kota Bandung, Jawa Barat 40251",Microblur Translucent Loose Powder,Sociolla,SOC_BDG_06,63842,2,-6.922775058,107.6049413,4.7,4946
X The Kings Shopping Centre,"Jl. Kepatihan No.11-17, Balonggede, Kec. Regol, Kota Bandung, Jawa Barat 40251",Powerstay Transferproof Matte Lip Cream,Sociolla,SOC_BDG_06,122153,1,-6.922775058,107.6049413,4.7,2295
X Tenth Avenue,"Jl. Soekarno-Hatta No.526, Cijaura, Kec. Buahbatu, Kota Bandung, Jawa Barat 40286",Mediheal Rose Prrn Essential Mask Healthy Glow,Sociolla,SOC_BDG_07,119191,3,-6.946621242,107.6409111,4.9,69
X Tenth Avenue,"Jl. Soekarno-Hatta No.526, Cijaura, Kec. Buahbatu, Kota Bandung, Jawa Barat 40286",Let It Gow Daily Shine Body Serum Delicate Rose,Sociolla,SOC_BDG_07,99431,3,-6.946621242,107.6409111,4.9,79
X Tenth Avenue,"Jl. Soekarno-Hatta No.526, Cijaura, Kec. Buahbatu, Kota Bandung, Jawa Barat 40286",Finally Found You SOY BRIGHT! Moisturizer,Sociolla,SOC_BDG_07,108230,7,-6.946621242,107.6409111,4.8,6
X Tenth Avenue,"Jl. Soekarno-Hatta No.526, Cijaura, Kec. Buahbatu, Kota Bandung, Jawa Barat 40286",Wonder Crush Serum Liquid Blush,Sociolla,SOC_BDG_07,97191,5,-6.946621242,107.6409111,4.8,1402
X Tenth Avenue,"Jl. Soekarno-Hatta No.526, Cijaura, Kec. Buahbatu, Kota Bandung, Jawa Barat 40286",Superstay Vinyl Ink Tint,Sociolla,SOC_BDG_07,87877,7,-6.946621242,107.6409111,4.7,5512
X Tenth Avenue,"Jl. Soekarno-Hatta No.526, Cijaura, Kec. Buahbatu, Kota Bandung, Jawa Barat 40286",Microblur Translucent Loose Powder,Sociolla,SOC_BDG_07,63842,3,-6.946621242,107.6409111,4.7,4946
X Tenth Avenue,"Jl. Soekarno-Hatta No.526, Cijaura, Kec. Buahbatu, Kota Bandung, Jawa Barat 40286",Powerstay Transferproof Matte Lip Cream,Sociolla,SOC_BDG_07,122376,0,-6.946621242,107.6409111,4.7,2295
Summarecon Mall Bandung," Jl. Grand Bulevar No.1, Cisaranten Kidul, Kec. Gedebage, Kota Bandung, Jawa Barat 40295",Yves Saint Laurent Touche Éclat Glow-Pact Cushion,Sephora,SEP_BDG_01,indonesia-31341-45977,0,-6.955033396,107.6985416,5,22
Summarecon Mall Bandung," Jl. Grand Bulevar No.1, Cisaranten Kidul, Kec. Gedebage, Kota Bandung, Jawa Barat 40295",LANEIGE Glaze Craze Tinted Lip Serum,Sephora,SEP_BDG_01,default-104081-274480,0,-6.955033396,107.6985416,4.6,1297
Summarecon Mall Bandung," Jl. Grand Bulevar No.1, Cisaranten Kidul, Kec. Gedebage, Kota Bandung, Jawa Barat 40295",FRES Kombuca Facial Treatment Essence,Sephora,SEP_BDG_01,default-14461-248366,0,-6.955033396,107.6985416,4.7,2335
Summarecon Mall Bandung," Jl. Grand Bulevar No.1, Cisaranten Kidul, Kec. Gedebage, Kota Bandung, Jawa Barat 40295",BOBBI BROWN Vitamin Enriche Face Base,Sephora,SEP_BDG_01,default-17910-201263,0,-6.955033396,107.6985416,4.7,1331
Summarecon Mall Bandung," Jl. Grand Bulevar No.1, Cisaranten Kidul, Kec. Gedebage, Kota Bandung, Jawa Barat 40295",DIOR Backstage Rosy Glow Blush,Sephora,SEP_BDG_01,default-104954-274711,0,-6.955033396,107.6985416,4.6,314
Summarecon Mall Bandung," Jl. Grand Bulevar No.1, Cisaranten Kidul, Kec. Gedebage, Kota Bandung, Jawa Barat 40295",NATASHA DENONA Eye Sculpt Eyeshadow Palette,Sephora,SEP_BDG_01,indonesia-103734-52814,0,-6.955033396,107.6985416,4.8,250
Summarecon Mall Bandung," Jl. Grand Bulevar No.1, Cisaranten Kidul, Kec. Gedebage, Kota Bandung, Jawa Barat 40295",SOL DE JANEIRO Body Badalada Vitamin-Infused Lotion,Sephora,SEP_BDG_01,indonesia-102952-51451,0,-6.955033396,107.6985416,4.9,1038
Paris Van Java,"Jl. Sukajadi No.131-139, Cipedes, Kec. Sukajadi, Kota Bandung, Jawa Barat 40162",HUDA Beauty Easy Bake Loose Powder,Sephora,SEP_BDG_02,default-105295-278187,0,-6.887891584,107.5958305,4.8,8018
Paris Van Java,"Jl. Sukajadi No.131-139, Cipedes, Kec. Sukajadi, Kota Bandung, Jawa Barat 40162",RARE Beauty Soft Pinch Liquid Blush,Sephora,SEP_BDG_02,default-31326-251201,0,-6.887891584,107.5958305,4.7,23347
Paris Van Java,"Jl. Sukajadi No.131-139, Cipedes, Kec. Sukajadi, Kota Bandung, Jawa Barat 40162",BILLIE ELISH Eilish Eau De Parfum,Sephora,SEP_BDG_02,default-39315-246985,0,-6.887891584,107.5958305,4.8,1110
Paris Van Java,"Jl. Sukajadi No.131-139, Cipedes, Kec. Sukajadi, Kota Bandung, Jawa Barat 40162",BOBBI BROWN Vitamin Enriche Face Base,Sephora,SEP_BDG_02,default-17910-201263,1,-6.887891584,107.5958305,4.7,1331
Paris Van Java,"Jl. Sukajadi No.131-139, Cipedes, Kec. Sukajadi, Kota Bandung, Jawa Barat 40162",DIOR Backstage Rosy Glow Blush,Sephora,SEP_BDG_02,default-104954-274711,1,-6.887891584,107.5958305,4.7,119
Paris Van Java,"Jl. Sukajadi No.131-139, Cipedes, Kec. Sukajadi, Kota Bandung, Jawa Barat 40162",MAC COSMETICS M•A•Cximal Silky Matte Lipstick,Sephora,SEP_BDG_02,default-48201-263199,0,-6.887891584,107.5958305,4.8,530
Paris Van Java,"Jl. Sukajadi No.131-139, Cipedes, Kec. Sukajadi, Kota Bandung, Jawa Barat 40162",SOL DE JANEIRO Body Badalada Vitamin-Infused Lotion,Sephora,SEP_BDG_02,indonesia-102952-51451,1,-6.887891584,107.5958305,4.9,1038
23 Paskal,"Jl. Pasir Kaliki No.25-27, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40241",Yves Saint Laurent Touche Éclat Glow-Pact Cushion,Sephora,SEP_BDG_03,indonesia-31341-45977,1,-6.91460502,107.5958065,5,22
23 Paskal,"Jl. Pasir Kaliki No.25-27, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40241",LANEIGE Glaze Craze Tinted Lip Serum,Sephora,SEP_BDG_03,default-104081-274480,1,-6.91460502,107.5958065,4.6,1297
23 Paskal,"Jl. Pasir Kaliki No.25-27, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40241",BILLIE ELISH Eilish Eau De Parfum,Sephora,SEP_BDG_03,default-39315-246985,1,-6.91460502,107.5958065,4.8,1110
23 Paskal,"Jl. Pasir Kaliki No.25-27, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40241",DIOR Backstage Rosy Glow Blush,Sephora,SEP_BDG_03,default-104954-274711,2,-6.91460502,107.5958065,4.6,314
23 Paskal,"Jl. Pasir Kaliki No.25-27, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40241",NATASHA DENONA Eye Sculpt Eyeshadow Palette,Sephora,SEP_BDG_03,indonesia-103734-52814,1,-6.91460502,107.5958065,4.8,250
23 Paskal,"Jl. Pasir Kaliki No.25-27, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40241",MAC COSMETICS M•A•Cximal Silky Matte Lipstick,Sephora,SEP_BDG_03,default-48201-263199,1,-6.91460502,107.5958065,4.8,530
23 Paskal,"Jl. Pasir Kaliki No.25-27, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40241",SOL DE JANEIRO Body Badalada Vitamin-Infused Lotion,Sephora,SEP_BDG_03,indonesia-102952-51451,2,-6.91460502,107.5958065,4.9,1038
